Name,Year,Miles,Price,model_avg_price,model_listing_count,Age,AgeBand,MileageBand,price_zscore
Ford Mustang,2018,81441,22990,25856.117647058825,102,5,4-6,80-100k,0.15224355001378106
Nissan Altima,2019,46662,23590,19293.97340425532,188,4,2-4,40-60k,0.22790145982784
Volkswagen Passat,2018,51020,20590,18311.052631578947,76,5,4-6,40-60k,-0.15038808924245464
Honda Accord,2014,38422,19990,20338.34351145038,131,9,8-10,20-40k,-0.22604599905651357
Lexus IS,2013,100000,16990,23340.0,28,10,8-10,80-100k,-0.6043355481268082
Kia Soul,2021,39068,19990,17106.064516129034,124,2,0-2,20-40k,-0.22604599905651357
Jeep Grand Cherokee,2017,97364,24590,23092.367346938776,49,6,4-6,80-100k,0.3539979761846049
Acura MDX,2016,92544,21990,23334.444444444445,18,7,6-8,80-100k,0.026147033657016195
Kia Cadenza,2014,24248,20990,20765.0,8,9,8-10,20-40k,-0.09994948269974868
Hyundai Elantra,2018,34931,19990,17041.33846153846,195,5,4-6,20-40k,-0.22604599905651357
GMC Acadia,2014,99519,19990,26526.174603174604,63,9,8-10,80-100k,-0.22604599905651357
Hyundai Tucson,2019,42021,22590,20007.2,70,4,2-4,40-60k,0.10180494347107512
Hyundai Elantra,2016,105344,13590,17041.33846153846,195,7,6-8,100-130k,-1.0330637037398087
Toyota Camry,2011,78431,14990,20721.41134751773,141,12,10-15,60-80k,-0.856528580840338
Volkswagen Jetta SportWagen,2013,101042,14990,16603.333333333332,15,10,8-10,100-130k,-0.856528580840338
MINI Hardtop  Door,2015,56229,18990,20638.64864864865,37,8,6-8,40-60k,-0.35214251541327846
Cadillac CTS,2014,56213,20590,22603.333333333332,15,9,8-10,40-60k,-0.15038808924245464
Lexus IS,2012,88541,18590,23340.0,28,11,10-15,80-100k,-0.4025811219559844
BMW  Series,2013,77600,18990,25277.301587301587,126,10,8-10,60-80k,-0.35214251541327846
Kia Sedona,2016,97963,15990,19804.285714285714,14,7,6-8,80-100k,-0.7304320644835731
Nissan Rogue,2016,96510,15990,20382.880165289258,242,7,6-8,80-100k,-0.7304320644835731
Kia Rio,2017,33004,15590,16682.0,35,6,4-6,20-40k,-0.780870671026279
Ram  Regular Cab,2014,46757,23990,24630.0,5,9,8-10,40-60k,0.278340066370546
Chevrolet Impala,2020,54232,24990,20195.8,40,3,2-4,40-60k,0.4044365827273108
Kia Optima,2017,82765,19590,17867.048076923078,104,6,4-6,80-100k,-0.2764846055992195
Chevrolet Trax,2020,34680,19990,18076.951219512193,82,3,2-4,20-40k,-0.22604599905651357
Chevrolet Equinox,2019,42197,21990,19319.105263157893,171,4,2-4,40-60k,0.026147033657016195
Chrysler Pacifica,2018,67400,24990,26151.657142857144,35,5,4-6,60-80k,0.4044365827273108
Honda Civic,2012,104955,13990,18925.32380952381,210,11,10-15,100-130k,-0.9826250971971029
Lexus IS,2014,64311,23590,23340.0,28,9,8-10,60-80k,0.22790145982784
Nissan Murano,2018,44834,23990,23491.560606060608,66,5,4-6,40-60k,0.278340066370546
Subaru Impreza,2017,99558,16990,19643.23076923077,26,6,4-6,80-100k,-0.6043355481268082
MINI Hardtop  Door,2015,36134,17590,20638.64864864865,37,8,6-8,20-40k,-0.5286776383127493
Subaru Legacy,2013,54606,16590,20081.428571428572,21,10,8-10,40-60k,-0.6547741546695142
MAZDA CX-,2021,50801,22590,23001.7,140,2,0-2,40-60k,0.10180494347107512
Chevrolet Volt,2018,61688,21990,18150.0,25,5,4-6,60-80k,0.026147033657016195
Hyundai Kona,2021,16030,24990,22149.1,30,2,0-2,0-20k,0.4044365827273108
Toyota Camry,2015,46874,18990,20721.41134751773,141,8,6-8,40-60k,-0.35214251541327846
Subaru Impreza,2013,30092,17990,19643.23076923077,26,10,8-10,20-40k,-0.47823903177004334
